Beta,Starting point,Iterations
0.39,-5,29
0.39,0,26
0.39,5,30
0.39,10,31
0.39,15,31
0.39,20,32
0.39,25,32
0.39,30,33
0.39,35,33
0.39,40,33
0.39,45,33
0.39,50,33
0.39,55,34
0.39,60,34
0.39,65,34
0.39,70,34
0.39,75,34
0.39,80,34
0.39,85,34
0.39,90,34
0.39,95,35
0.39,100,35
0.4,-100,39
0.4,-95,39
0.4,-90,39
0.4,-85,39
0.4,-80,39
0.4,-75,39
0.4,-70,39
0.4,-65,38
0.4,-60,38
0.4,-55,38
0.4,-50,38
0.4,-45,38
0.4,-40,37
0.4,-35,37
0.4,-30,37
0.4,-25,37
0.4,-20,36
0.4,-15,35
0.4,-10,35
0.4,-5,33
0.4,0,30
0.4,5,34
0.4,10,35
0.4,15,36
0.4,20,36
0.4,25,37
0.4,30,37
0.4,35,37
0.4,40,38
0.4,45,38
0.4,50,38
0.4,55,38
0.4,60,38
0.4,65,38
0.4,70,39
0.4,75,39
0.4,80,39
0.4,85,39
0.4,90,39
0.4,95,39
0.4,100,39
0.41,-100,45
0.41,-95,45
0.41,-90,45
0.41,-85,44
0.41,-80,44
0.41,-75,44
0.41,-70,44
0.41,-65,44
0.41,-60,44
0.41,-55,44
0.41,-50,43
0.41,-45,43
0.41,-40,43
0.41,-35,42
0.41,-30,42
0.41,-25,42
0.41,-20,41
0.41,-15,41
0.41,-10,40
0.41,-5,38
0.41,0,34
0.41,5,38
0.41,10,40
0.41,15,41
0.41,20,41
0.41,25,42
0.41,30,42
0.41,35,43
0.41,40,43
0.41,45,43
0.41,50,43
0.41,55,44
0.41,60,44
0.41,65,44
0.41,70,44
0.41,75,44
0.41,80,44
0.41,85,45
0.41,90,45
0.41,95,45
